ABC-123;194;50.43;utalás
ABC-123;87;21.15;kártya
ABC-123;132;36.90;készpénz
ABC-123;56;14.70;csekk
ABC-123;211;54.20;utalás
ABC-123;145;39.80;kártya
ABC-123;77;18.90;-
ABC-123;168;44.30;utalás
ABC-123;95;25.60;készpénz
ABC-123;123;33.50;csekk
ABC-123;201;53.90;utalás
ABC-123;62;15.20;kártya
ABC-123;88;22.10;készpénz
ABC-123;173;46.50;-
ABC-123;154;41.20;utalás
ABC-123;119;31.80;csekk
ABC-123;207;55.40;kártya
ABC-123;49;12.60;készpénz
ABC-123;181;48.10;utalás
ABC-123;133;35.70;-
ABC-123;70;17.80;kártya
ABC-123;98;26.50;készpénz
KLM-542;187;49.60;utalás
QWE-918;112;30.20;csekk
RTY-441;91;24.40;-
HJK-772;205;54.80;utalás
PLM-304;143;38.90;kártya
DFG-667;58;13.90;készpénz
QAZ-111;167;45.10;utalás
WSX-222;74;18.50;csekk
EDC-333;130;34.80;-
RFV-444;216;57.20;utalás
TGB-555;102;27.40;kártya
YHN-666;83;20.70;készpénz
UJM-777;176;47.30;utalás
IKL-888;125;33.10;csekk
OLP-999;64;15.90;-
MNB-101;192;51.60;utalás
VCX-202;147;40.10;kártya
ZAS-303;54;13.20;készpénz
XDC-404;158;42.50;utalás
CFV-505;118;31.40;csekk
VGB-606;86;21.90;-
BHN-707;203;54.50;utalás
NJM-808;140;37.60;kártya
MKL-909;72;18.20;készpénz
JKH-010;184;48.90;utalás
HGF-121;109;29.80;csekk
FDS-232;66;16.40;-
SDF-343;198;52.70;utalás
DSA-454;121;32.90;kártya
ASD-565;79;19.60;készpénz
POI-676;170;45.90;utalás
IUY-787;96;25.80;csekk
TRE-898;52;12.90;-
WQE-909;214;56.80;utalás
LKJ-111;136;36.40;kártya
MJU-222;93;24.90;készpénz
NHY-333;179;47.80;utalás
BGT-444;114;30.90;csekk
VFR-555;68;17.10;-
CDE-666;160;43.30;utalás
XSW-777;82;20.90;kártya
ZAQ-888;127;34.20;készpénz
QSC-999;190;50.90;utalás
WER-135;104;28.30;csekk
ERT-246;61;15.00;-
RTZ-357;209;55.90;utalás
TYU-468;138;37.20;kártya
YUI-579;90;23.80;készpénz
UIO-680;174;46.80;utalás
IOP-791;116;31.10;csekk
OPA-802;75;18.70;-
PAS-913;196;52.10;utalás
ASQ-024;129;34.60;kártya
SWE-135;85;21.30;készpénz
DEF-246;182;48.40;utalás
FGH-357;111;29.90;csekk
GHI-468;57;14.10;-
HIJ-579;220;58.30;utalás
IJK-680;141;38.10;kártya
JKL-791;99;26.80;készpénz
KLO-802;165;44.70;utalás
LOP-913;120;32.40;csekk
MNO-024;73;18.40;-
NOP-135;188;49.90;utalás
OPQ-246;135;36.10;kártya
PQR-357;92;24.60;készpénz
QRS-468;177;47.50;utalás
RST-579;108;29.40;csekk
STU-680;65;16.20;-
TUV-791;202;53.70;utalás
UVW-802;148;40.60;kártya
VWX-913;84;21.00;készpénz
WXY-024;171;46.20;utalás
XYZ-135;117;31.60;csekk
YZA-246;69;17.50;-
ZAB-357;212;56.10;utalás
BAC-468;139;37.40;kártya
CAD-579;97;26.10;készpénz
